gene,SRR1222460,SRR1222455,SRR1222450,SRR1222448,SRR1222456
TraesCS5B02G012900,2.0,4.247927513443585,4.087462841250339,4.0,1.584962500721156
TraesCS6A02G295600,5.491853096329675,5.614709844115208,5.78135971352466,4.643856189774724,5.426264754702098
TraesCS3B02G332300,0.0,2.321928094887362,2.321928094887362,2.321928094887362,0.0
TraesCS5B02G183000,2.0,2.0,2.0,2.584962500721156,1.584962500721156
TraesCS5A02G326800,5.584962500721156,3.0,3.321928094887362,3.0,4.321928094887363
TraesCS3D02G010000,4.0,4.392317422778761,3.584962500721156,4.169925001442312,3.807354922057604
TraesCS4A02G056500,8.459431618637296,7.924812503605781,7.924812503605781,7.383704292474052,8.022367813028454
TraesCS3D02G194800,5.129283016944966,4.321928094887363,4.754887502163468,5.459431618637297,5.285402218862249
TraesCS3D02G194800,5.129283016944966,4.321928094887363,4.754887502163468,5.459431618637297,5.285402218862249
TraesCS3D02G194800,5.321928094887363,4.523561956057013,4.954196310386875,5.672425341971495,5.491853096329675
TraesCS3D02G194800,5.129283016944966,4.321928094887363,4.754887502163468,5.491853096329675,5.285402218862249
TraesCS2A02G123800,4.321928094887363,4.247927513443585,4.087462841250339,4.459431618637297,3.321928094887362
TraesCS2A02G123800,4.321928094887363,4.247927513443585,4.087462841250339,4.459431618637297,3.321928094887362
TraesCS7A02G319000,6.169925001442312,5.584962500721156,5.977279923499917,5.459431618637297,5.977279923499917
TraesCS7D02G197200,3.4594316186372973,3.807354922057604,2.807354922057604,3.4594316186372973,3.9068905956085187
TraesCS7D02G346400,3.0,4.392317422778761,4.247927513443585,5.087462841250339,3.169925001442312
TraesCS7D02G346400,3.0,4.392317422778761,4.247927513443585,5.087462841250339,3.169925001442312
TraesCS3D02G039300,2.0,2.807354922057604,2.0,4.0,2.807354922057604
TraesCS2D02G118400,4.754887502163468,4.857980995127572,4.807354922057604,4.906890595608519,4.643856189774724
TraesCS2D02G118400,4.523561956057013,4.584962500721156,4.584962500721156,4.643856189774724,4.392317422778761
TraesCS1A02G037200,2.807354922057604,1.584962500721156,3.169925001442312,4.247927513443585,3.0
TraesCS6A02G314500,6.614709844115208,4.459431618637297,3.700439718141092,5.20945336562895,5.426264754702098
TraesCS5D02G113500,5.857980995127572,4.321928094887363,4.0,5.0,5.727920454563199
TraesCS5B02G161700,6.066089190457772,6.044394119358453,6.129283016944966,6.965784284662087,6.459431618637297
TraesCS6D02G262700,8.74819284958946,9.296916206879288,9.67065624911844,9.712527000439824,9.4241662888181
TraesCS3D02G159000,3.0,3.169925001442312,1.584962500721156,2.321928094887362,3.4594316186372973
TraesCS5B02G209600,5.247927513443585,5.20945336562895,5.169925001442312,5.459431618637297,4.906890595608519
TraesCS6D02G072200,1.0,2.584962500721156,3.0,2.584962500721156,1.0
TraesCS1A02G378000,6.832890014164741,6.539158811108031,6.794415866350106,5.672425341971495,7.076815597050831
TraesCS4D02G203900,2.807354922057604,4.392317422778761,4.247927513443585,4.169925001442312,2.321928094887362
TraesCS4D02G203900,3.0,4.523561956057013,4.392317422778761,4.321928094887363,2.321928094887362
TraesCS4D02G203900,2.807354922057604,4.392317422778761,4.247927513443585,4.247927513443585,2.321928094887362
TraesCS1A02G366600,3.0,6.658211482751795,6.189824558880018,7.727920454563199,6.169925001442312
TraesCS7D02G104200,1.584962500721156,2.321928094887362,1.584962500721156,1.584962500721156,2.584962500721156
TraesCS2B02G373000,5.044394119358453,2.807354922057604,3.169925001442312,4.087462841250339,3.9068905956085187
TraesCS4D02G203300,2.807354922057604,2.584962500721156,3.169925001442312,4.087462841250339,2.321928094887362
TraesCS3B02G569900,1.0,1.0,1.0,1.0,0.0
TraesCS1A02G227600,3.169925001442312,4.700439718141092,4.857980995127572,4.459431618637297,1.584962500721156
TraesCS5A02G425300,3.9068905956085187,6.149747119504682,6.426264754702098,6.357552004618084,3.4594316186372973
TraesCS5A02G425300,3.700439718141092,5.930737337562887,6.20945336562895,6.149747119504682,3.169925001442312
TraesCS6A02G063200,1.584962500721156,2.807354922057604,2.0,2.584962500721156,2.807354922057604
TraesCS6A02G063200,2.321928094887362,3.700439718141092,2.807354922057604,3.321928094887362,3.700439718141092
TraesCS5B02G205800,3.169925001442312,3.0,3.321928094887362,3.4594316186372973,2.321928094887362
TraesCS5A02G554700,6.357552004618084,5.584962500721156,5.807354922057604,5.906890595608519,6.044394119358453
TraesCS3A02G210100,1.0,1.0,2.0,1.0,0.0
TraesCS3A02G210100,1.0,1.584962500721156,2.584962500721156,1.584962500721156,1.0
TraesCS3A02G402600,4.857980995127572,5.459431618637297,6.044394119358453,5.20945336562895,4.857980995127572
TraesCS3B02G371900,4.392317422778761,2.321928094887362,3.0,3.0,3.584962500721156
TraesCS7D02G198900,2.0,3.807354922057604,4.459431618637297,3.9068905956085187,2.321928094887362
TraesCS7D02G198900,2.321928094887362,4.169925001442312,4.754887502163468,4.247927513443585,2.584962500721156
TraesCS3D02G203600,3.0,1.584962500721156,2.0,2.321928094887362,3.0
TraesCS6B02G291700,4.523561956057013,4.169925001442312,4.392317422778761,4.906890595608519,4.954196310386875
TraesCS1B02G364800,5.087462841250339,5.169925001442312,5.700439718141092,5.727920454563199,4.754887502163468
TraesCS5A02G492100,6.832890014164741,5.727920454563199,6.149747119504682,6.022367813028454,6.569855608330948
TraesCS4B02G161600,2.321928094887362,3.169925001442312,3.584962500721156,3.169925001442312,1.0
TraesCS4B02G161600,2.321928094887362,3.169925001442312,3.4594316186372973,3.169925001442312,1.0
TraesCS2A02G242900,4.459431618637297,4.247927513443585,4.754887502163468,5.392317422778761,4.700439718141092
