,gene,SRR1222460,SRR1222455,SRR1222450,SRR1222448,SRR1222456
0,TraesCS1A02G000100,83.7328,53.0677,120.527,72.5751,113.718
1,TraesCS1A02G000200,612.101,1791.22,1357.96,383.165,237.035
2,TraesCS1A02G000300,16.3186,15.9746,27.7144,8.18594,33.8285
3,TraesCS1A02G000400,445.276,344.51,433.952,177.721,412.689
4,TraesCS1A02G000500,3.70829,4.40206,1.39836,4.91365,8.37189
5,TraesCS1A02G000600,4.48397,9.08061,16.0833,0.0,4.5385
6,TraesCS1A02G000700,0.0,0.0,0.0,50.05,0.0
7,TraesCS1A02G000800,7.59672,0.0,3.72969,1.79925,9.97458
8,TraesCS1A02G000900,10460.4,3537.92,4672.28,1323.09,9194.79
9,TraesCS1A02G001100,15404.6,17157.9,21797.4,9407.08,16035.9
10,TraesCS1A02G001000,2192.34,2511.54,2458.37,1175.67,1989.76
11,TraesCS1A02G001200,11.9634,536.045,859.476,242.911,57.5987
12,TraesCS1A02G001400,236.227,423.411,386.539,137.025,213.176
13,TraesCS1A02G001300,10.8738,42.3963,35.0919,46.7572,54.052
14,TraesCS1A02G001500,5.93087,8.8377,11.8122,3.65672,8.88211
15,TraesCS1A02G001600,6.53235,9.57806,12.0161,4.23171,1.35197
16,TraesCS1A02G001700,2.41674,21.5373,25.03,10.0982,0.0
17,TraesCS1A02G001800,76.3498,47.8289,50.4959,79.7348,64.0686
18,TraesCS1A02G001900,173.85513699999998,126.9798240336326,143.20739,235.8338,155.0747526
19,TraesCS1A02G002000,9.28104,18.4177,13.5488,27.2483,19.0743
20,TraesCS1A02G002100,19.4256,62.192,74.5326,76.8222,35.5842
21,TraesCS1A02G002200,179.25,188.606,226.983,187.501,272.251
22,TraesCS1A02G002300,3.6277,5.06486,6.60677,17.0657,7.51559
24,TraesCS1A02G002500,31.4,110.245,159.697,164.552,22.028
25,TraesCS1A02G002700,168.148,451.316,435.78,543.493,92.0753
41,TraesCS1A02G004126,4.2582,51.6974,42.573,31.0927,1.23055
42,TraesCS1A02G004200,107.354,0.0,0.279092,7.35306,5.84543
44,TraesCS1A02G004400,218.384,28.3965,34.8256,18.2182,24.7178
45,TraesCS1A02G004500,28.3939,7.27013,11.0,8.96933,1.26784
46,TraesCS1A02G004600,0.0,5.57209,5.365,9.97299,11.7773
51,TraesCS1A02G005100,0.0,19.8018,33.6525,28.7652,10.5713
54,TraesCS1A02G005315,133.343,4304.3,7089.6,5664.43,304.452
55,TraesCS1A02G005368,2474.99,7035.43,8268.57,8219.39,622.55
56,TraesCS1A02G005387,438.453,4997.87,6200.21,5690.05,404.135
58,TraesCS1A02G005500,69.9143,98.6979,67.8681,195.815,100.357
59,TraesCS1A02G005600,76.01386188313799,55.8818316516,69.2354959,85.221953982729,55.9079378
60,TraesCS1A02G005700,73.8347,198.845,294.539,249.815,39.9147
61,TraesCS1A02G005800,176.3407,259.523,319.7945,432.9051,152.60947
62,TraesCS1A02G005900,42.7688,44.7445,37.8598,72.4084,44.3954
74,TraesCS1A02G007200,344.856,2.03137,4.06169,14.1218,3.03378
76,TraesCS1A02G007300,28104.3,131321.0,118295.0,109646.0,30154.3
77,TraesCS1A02G007344,1672.49,18806.2,17448.0,15750.4,5145.16
78,TraesCS1A02G007400,34130.6,204034.0,169295.0,116353.0,74364.8
79,TraesCS1A02G007405,20063.3,60.2493,25.5331,16.8425,39.1621
80,TraesCS1A02G007500,124.881,192.903,179.259,209.835,155.456
81,TraesCS1A02G007600,9.85418,27.1115,36.5953,32.4126,23.0679
82,TraesCS1A02G007700,21729.7,29506.3,26565.5,18288.0,30041.1
85,TraesCS1A02G007934,516.182,2670.86,2430.87,2040.37,283.92
86,TraesCS1A02G008000,29487.9,91580.7,79973.1,74930.9,14940.8
